round,train_loss,test_loss
253,0.07515820192986325,0.1938475364016437
254,0.07483472332438383,0.19384606735344373
255,0.07447977426323855,0.19378760028968
256,0.07419637105907609,0.19383229645421177
257,0.07390862433641546,0.19383257158469439
258,0.07364043969825725,0.1939241873240294
259,0.07335999346452061,0.19396512523864257
260,0.0730352904669584,0.1939977285494338
261,0.07277673760554776,0.19396250514275787
262,0.07262756304318094,0.1939459838399563
263,0.07234928773046433,0.1939745258228854
264,0.07210227360984753,0.1940161212359453
265,0.07190247356107526,0.19401147894462378
266,0.07165464345445635,0.19403208165588842
267,0.07135319068817961,0.19412998731859207
268,0.07103385954764088,0.19418798382274602
269,0.07065185830573839,0.1943157512273905
270,0.07045719888031,0.19434368747737912
271,0.07029964030802506,0.19434542668920113
272,0.07004920118814817,0.19441405920910623
273,0.06973467076584164,0.19453601953668376
274,0.06944273012672827,0.19460250787343025
275,0.0691602995747671,0.19463520449580193
276,0.06877786862310159,0.19465504146202653
277,0.06856821605411781,0.19456608243142887
278,0.06823866162849747,0.19464195183331276
279,0.06795501780089927,0.19472040438221613
280,0.06770849631965695,0.19477442893323438
281,0.06739739090519477,0.19485300453597737
282,0.06717008330215896,0.194865147106525
283,0.06681417213322136,0.19484336506645208
284,0.06654027307576132,0.19481104341901764
285,0.06622301067235287,0.19493908008436892
286,0.06601195924731522,0.1949100725112054
287,0.06582522899016727,0.19491691208957984
288,0.0655599142834102,0.19510534874609622
289,0.06521636361577582,0.19515869495665128
290,0.06502561968960494,0.19517413662177507
291,0.06485246149552816,0.19520545253586033
292,0.06459602341425688,0.19518642025569666
293,0.06427467634167303,0.19521476910207652
294,0.0639773122533815,0.19519968673174404
295,0.06381570045713893,0.19515382908082787
296,0.06365405467302503,0.19524348049443377
297,0.0634087451433932,0.19526801371228128
298,0.06315762539922852,0.1953962409104789
299,0.0628956675749435,0.1954402845944652
300,0.06269952995041744,0.19552931817538055
